Shape,tr_id,X_mid,Y_mid,grid_id,Length,tr_seq
Shape,1,518322,1734302,2742,566,1
Shape,1,518322,1734302,2743,609,1
Shape,1,518322,1734302,2776,1003,1
Shape,1,518322,1734302,2777,1045,1
Shape,3,519078,1728508,2572,2064,2
Shape,3,519078,1728508,2573,1145,2
Shape,4,524120,1728502,2577,1976,3
Shape,4,524120,1728502,2578,1254,3
Shape,5,529920,1728506,2583,2373,4
Shape,5,529920,1728506,2584,857,4
Shape,6,534500,1727999,2553,695,5
Shape,6,534500,1727999,2554,1074,5
Shape,6,534500,1727999,2587,529,5
Shape,6,534500,1727999,2588,908,5
Shape,7,518506,1722695,2360,984,6
Shape,7,518506,1722695,2361,1375,6
Shape,7,518506,1722695,2396,222,6
Shape,7,518506,1722695,2397,614,6
Shape,8,524125,1722702,2366,1363,7
Shape,8,524125,1722702,2367,1004,7
Shape,8,524125,1722702,2402,604,7
Shape,8,524125,1722702,2403,245,7
Shape,9,529924,1722702,2372,1564,8
Shape,9,529924,1722702,2373,805,8
Shape,9,529924,1722702,2408,805,8
Shape,9,529924,1722702,2409,46,8
Shape,10,535726,1722702,2378,2365,9
Shape,10,535726,1722702,2414,849,9
Shape,11,518310,1716853,2144,1027,10
Shape,11,518310,1716853,2145,1029,10
Shape,11,518310,1716853,2180,574,10
Shape,11,518310,1716853,2181,576,10
Shape,12,529923,1716905,2156,1361,11
Shape,12,529923,1716905,2157,605,11
Shape,12,529923,1716905,2192,1008,11
Shape,12,529923,1716905,2193,251,11
Shape,13,535725,1716904,2162,1912,12
Shape,13,535725,1716904,2198,1302,12
Shape,14,524120,1716905,2150,1166,13
Shape,14,524120,1716905,2151,789,13
Shape,14,524120,1716905,2186,818,13
Shape,14,524120,1716905,2187,441,13
Shape,15,518680,1710884,1927,626,14
Shape,15,518680,1710884,1928,1382,14
Shape,15,518680,1710884,1963,227,14
Shape,15,518680,1710884,1964,983,14
Shape,16,524128,1711104,1933,958,15
Shape,16,524128,1711104,1934,596,15
Shape,16,524128,1711104,1969,1005,15
Shape,16,524128,1711104,1970,643,15
Shape,17,529923,1711106,1939,1162,16
Shape,17,529923,1711106,1940,406,16
Shape,17,529923,1711106,1975,1206,16
Shape,17,529923,1711106,1976,451,16
Shape,18,518875,1705310,1693,1146,17
Shape,18,518875,1705310,1731,2064,17
Shape,19,524123,1705302,1698,765,18
Shape,19,524123,1705302,1699,410,18
Shape,19,524123,1705302,1736,1205,18
Shape,19,524123,1705302,1737,849,18
Shape,20,529919,1705303,1704,968,19
Shape,20,529919,1705303,1705,207,19
Shape,20,529919,1705303,1742,1405,19
Shape,20,529919,1705303,1743,644,19
Shape,21,524127,1699502,1485,1963,20
Shape,21,524127,1699502,1486,1253,20
Shape,22,531490,1700020,1492,686,21
Shape,22,531490,1700020,1493,1046,21
Shape,22,531490,1700020,1536,569,21
Shape,22,531490,1700020,1537,929,21
Shape,23,515854,1693570,1203,3220,22
Shape,24,522361,1693333,1164,496,23
Shape,24,522361,1693333,1165,620,23
Shape,24,522361,1693333,1209,994,23
Shape,24,522361,1693333,1210,1118,23
Shape,25,518319,1687903,924,967,24
Shape,25,518319,1687903,925,1008,24
Shape,25,518319,1687903,970,605,24
Shape,25,518319,1687903,971,645,24
Shape,26,525537,1687523,931,1147,25
Shape,26,525537,1687523,932,2062,25
Shape,27,518319,1682105,671,766,26
Shape,27,518319,1682105,672,806,26
Shape,27,518319,1682105,709,809,26
Shape,27,518319,1682105,710,848,26
Shape,28,524125,1682102,677,963,27
Shape,28,524125,1682102,678,607,27
Shape,28,524125,1682102,715,1001,27
Shape,28,524125,1682102,716,645,27
Shape,29,518319,1676301,481,570,28
Shape,29,518319,1676301,482,610,28
Shape,29,518319,1676301,511,1003,28
Shape,29,518319,1676301,512,1042,28
Shape,30,525122,1676286,488,758,29
Shape,30,525122,1676286,489,411,29
Shape,30,525122,1676286,518,1196,29
Shape,30,525122,1676286,519,849,29
Shape,31,518327,1670502,337,1565,30
Shape,31,518327,1670502,338,1641,30
Shape,32,524119,1670504,343,1972,31
Shape,32,524119,1670504,344,1255,31
Shape,33,519078,1664700,133,1412,32
Shape,33,519078,1664700,134,962,32
Shape,33,519078,1664700,166,647,32
Shape,33,519078,1664700,167,197,32
